Data de Criação,Data de Vencimento,Data do Pagamento,Descrição,Valor,Método de Pagamento,Taxa,Valor Pago,Pago,Categoria,Cliente,Tipo,Observação,Usuário,Usuário do Pagamento
05/06/2026,05/06/2026,05/06/2026,#459 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 29,Receita,,,
05/06/2026,05/06/2026,05/06/2026,#458 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 28,Receita,,,
04/06/2026,04/06/2026,04/06/2026,#457 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 03,Receita,,,
04/06/2026,04/06/2026,04/06/2026,#456 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 28,Receita,,,
04/06/2026,04/06/2026,04/06/2026,#455 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 77,Receita,,,
04/06/2026,04/06/2026,04/06/2026,#453 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 27,Receita,,,
03/06/2026,03/06/2026,03/06/2026,#452 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 20,Receita,,,
03/06/2026,03/06/2026,03/06/2026,#451 - Pix,100.0,Pix,0.0,100.0,Sim,Pedido,Cliente 69,Receita,,,
03/06/2026,03/06/2026,03/06/2026,#450 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 53,Receita,,,
03/06/2026,03/06/2026,03/06/2026,#447 - Pix,350.0,Pix,0.0,350.0,Sim,Pedido,Cliente 18,Receita,,,
03/06/2026,03/06/2026,03/06/2026,#449 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 47,Receita,,,
03/06/2026,03/06/2026,03/06/2026,#448 - Pix,650.0,Pix,0.0,650.0,Sim,Pedido,Cliente 76,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#438 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#446 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 91,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#445 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 48,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#444 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 104,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#443 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 77,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#442 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 15,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#441 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 83,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#440 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 101,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#439 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 80,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#437 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 62,Receita,,,
02/06/2026,02/06/2026,01/06/2026,#432 - Dinheiro,200.0,Dinheiro,0.0,200.0,Sim,Pedido,Cliente 67,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#436 - Dinheiro,380.0,Dinheiro,0.0,380.0,Sim,Pedido,Cliente 67,Receita,,,
02/06/2026,02/06/2026,02/06/2026,Adição de Crédito,80.0,Pix,0.0,80.0,Sim,Conta do Cliente,Cliente 09,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#435 - Pix,350.0,Pix,0.0,350.0,Sim,Pedido,Cliente 69,Receita,,,
02/06/2026,02/06/2026,02/06/2026,#435 - Dinheiro,250.0,Dinheiro,0.0,250.0,Sim,Pedido,Cliente 69,Receita,,,
02/06/2026,02/06/2026,01/06/2026,#433 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 32,Receita,,,
02/06/2026,02/06/2026,02/06/2026,Adição de Crédito,150.0,Pix,0.0,150.0,Sim,Conta do Cliente,Cliente 69,Receita,,,
02/06/2026,02/06/2026,02/06/2026,Adição de Crédito,150.0,Pix,0.0,150.0,Sim,Conta do Cliente,Cliente 69,Receita,,,
02/06/2026,02/06/2026,02/06/2026,Adição de Crédito,250.0,Pix,0.0,250.0,Sim,Conta do Cliente,Cliente 11,Receita,,,
01/06/2026,01/06/2026,01/06/2026,#434 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 14,Receita,,,
01/06/2026,01/06/2026,01/06/2026,#431 - Cartão de Crédito,200.0,Cartão de Crédito,0.0,200.0,Sim,Pedido,Cliente 71,Receita,,,
01/06/2026,01/06/2026,01/06/2026,#430 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 15,Receita,,,
31/05/2026,31/05/2026,31/05/2026,#429 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 56,Receita,,,
31/05/2026,31/05/2026,,#428,200.0,,0.0,0.0,Não,Pedido,Cliente 25,Receita,,,
31/05/2026,31/05/2026,31/05/2026,#427 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 23,Receita,,,
30/05/2026,30/05/2026,30/05/2026,#426 - Pix,280.0,Pix,0.0,280.0,Sim,Pedido,Cliente 85,Receita,,,
30/05/2026,30/05/2026,30/05/2026,#425 - Pix,700.0,Pix,0.0,700.0,Sim,Pedido,Cliente 81,Receita,,,
30/05/2026,30/05/2026,30/05/2026,#424 - Dinheiro,380.0,Dinheiro,0.0,380.0,Sim,Pedido,Cliente 96,Receita,,,
30/05/2026,30/05/2026,30/05/2026,#423 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 91,Receita,,,
29/05/2026,29/05/2026,29/05/2026,Adição de Crédito,200.0,Pix,0.0,200.0,Sim,Conta do Cliente,Cliente 29,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#418 - Pix,350.0,Pix,0.0,350.0,Sim,Pedido,Cliente 69,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#422 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 80,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#318 - Pix,190.0,Pix,0.0,190.0,Sim,Pedido,Cliente 61,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#421 - Pix,240.0,Pix,0.0,240.0,Sim,Pedido,Cliente 53,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#420 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 03,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#419 - Pix,400.0,Pix,0.0,400.0,Sim,Pedido,Cliente 59,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#417 - Cartão de Crédito,1100.0,Cartão de Crédito,0.0,1100.0,Sim,Pedido,Cliente 86,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#416 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 90,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#404 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 80,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#414 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 18,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#413 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 15,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#412 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 69,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#412 - Dinheiro,50.0,Dinheiro,0.0,50.0,Sim,Pedido,Cliente 69,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#411 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 25,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#410 - Pix,450.0,Pix,0.0,450.0,Sim,Pedido,Cliente 28,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#409 - Outro,590.0,Outro,0.0,590.0,Sim,Pedido,Cliente 14,Receita,,,
29/05/2026,29/05/2026,29/05/2026,#377 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 44,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#408 - Pix,410.0,Pix,0.0,410.0,Sim,Pedido,Cliente 32,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#373 - Pix,380.0,Pix,0.0,380.0,Sim,Pedido,Cliente 18,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#397 - Pix,140.0,Pix,0.0,140.0,Sim,Pedido,Cliente 48,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#384 - Pix,200.0,Pix,0.0,200.0,Sim,Pedido,Cliente 08,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#398 - Pix,350.0,Pix,0.0,350.0,Sim,Pedido,Cliente 69,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#401 - Pix,220.0,Pix,0.0,220.0,Sim,Pedido,Cliente 61,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#406 - Pix,300.0,Pix,0.0,300.0,Sim,Pedido,Cliente 52,Receita,,,
28/05/2026,28/05/2026,28/05/2026,#403 - Pix,220.0,Pix,0.0,220.0,Sim,Pedido,Cliente 33,Receita,,,
