Número,Status,Data,Data de Entrega,Data de Vencimento,Data do Pagamento,Quantidade,Descrição,Desconto,Entrega,Taxa de Vendas,Total,Valor Pago,Custo,Lucro,Tipos de Pagamento,,,Observação
459,Finalizado,05/06/2026 16:06:00,,,05/06/2026 16:05:59,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
458,Finalizado,05/06/2026 16:05:32,,,05/06/2026 16:05:31,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
457,Finalizado,04/06/2026 16:49:08,,,04/06/2026 16:49:06,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
456,Finalizado,04/06/2026 08:35:54,,,04/06/2026 08:35:53,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
455,Finalizado,04/06/2026 05:56:09,,,04/06/2026 05:56:08,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
454,Finalizado,04/06/2026 03:58:35,,,04/06/2026 03:58:34,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,"Pix, Fiado",,,
453,Finalizado,04/06/2026 02:42:57,,,04/06/2026 02:42:55,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
452,Finalizado,03/06/2026 23:54:55,,,03/06/2026 23:54:54,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
451,Finalizado,03/06/2026 18:12:26,,,03/06/2026 18:12:25,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,"Pix, Fiado",,,
450,Finalizado,03/06/2026 16:59:01,,,03/06/2026 16:59:00,1,"0,5g x Escova (400,00)
0,5g x Escova (0,00)",0.0,,,200.0,200.0,140.0,60,Pix,,,
449,Finalizado,03/06/2026 15:31:38,,,03/06/2026 15:31:36,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
448,Finalizado,03/06/2026 15:30:01,,,03/06/2026 15:30:00,2,"2g x Escova (325,00)",0.0,,,650.0,650.0,280.0,370,Pix,,,
447,Finalizado,03/06/2026 15:20:47,,,03/06/2026 16:06:48,1,"1g x Escova (350,00)",0.0,,,350.0,350.0,140.0,210,Pix,,,
446,Finalizado,02/06/2026 23:57:08,,,02/06/2026 23:59:11,1.2,"1,2g x Escova (400,00)",100.0,,,380.0,380.0,168.0,212,Pix,,,
444,Finalizado,02/06/2026 23:07:47,,,02/06/2026 23:07:46,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
443,Finalizado,02/06/2026 21:43:09,,,02/06/2026 21:43:08,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
442,Finalizado,02/06/2026 21:38:37,,,02/06/2026 21:38:36,1.22,"1,22g x Escova (400,00)",108.0,,,380.0,380.0,170.79999999999998,209.20000000000002,Pix,,,
441,Finalizado,02/06/2026 21:33:52,,,02/06/2026 21:34:02,1.22,"1,22g x Escova (400,00)",88.0,,,400.0,400.0,170.79999999999998,229.20000000000005,Pix,,,
440,Finalizado,02/06/2026 21:32:49,,,02/06/2026 21:32:48,2.2199999999999998,"1,22g x Escova (400,00)
1x Hidratante 30ml (0,00)",88.0,,,400.0,400.0,180.79999999999998,219.20000000000002,Pix,,,
439,Finalizado,02/06/2026 21:30:32,,,02/06/2026 21:30:31,2.7,"1,7g x Escova (400,00)
1x Hidratante Brinde 30ml (0,00)",280.0,,,400.0,400.0,248.0,152,Pix,,,
438,Finalizado,02/06/2026 21:27:48,,,02/06/2026 23:59:27,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,Henrik
445,Finalizado,02/06/2026 15:24:18,,,02/06/2026 23:54:41,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
437,Finalizado,02/06/2026 13:20:38,,,02/06/2026 13:20:37,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
436,Finalizado,02/06/2026 09:44:17,,,02/06/2026 09:44:16,2.2199999999999998,"1,22g x Escova (380,00)
1x Hidratante Brinde 30ml (0,00)",83.6,,,380.0,380.0,180.79999999999998,199.20000000000002,Dinheiro,,,
435,Finalizado,02/06/2026 04:15:07,,,02/06/2026 04:15:06,2,"2g x Escova (300,00)",0.0,,,600.0,600.0,280.0,320,"Dinheiro, Pix",,,
434,Finalizado,01/06/2026 23:09:58,,,01/06/2026 23:16:36,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
433,Finalizado,01/06/2026 23:09:40,,,02/06/2026 04:14:27,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
432,Finalizado,01/06/2026 23:08:59,,,02/06/2026 09:44:35,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Dinheiro,,,
431,Finalizado,01/06/2026 22:55:59,,,01/06/2026 22:55:58,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Cartão de Crédito,,,
430,Finalizado,01/06/2026 20:19:30,,,01/06/2026 20:19:28,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
429,Finalizado,31/05/2026 01:11:55,,,31/05/2026 01:11:53,1,"1g x Brinquedo (380,00)",0.0,,,380.0,380.0,160.0,220,Pix,,,
428,Pendente,31/05/2026 01:09:49,,,,0.5,"0,5g x Brinquedo (400,00)",0.0,,,200.0,0.0,80.0,120,,,,
427,Finalizado,31/05/2026 01:09:29,,,31/05/2026 01:09:28,1,"1g x Brinquedo (380,00)",0.0,,,380.0,380.0,160.0,220,Pix,,,
426,Finalizado,30/05/2026 04:08:16,,,30/05/2026 04:08:15,1.5,"1x Hidratante 30ml (80,00)
0,5g x Escova (400,00)",0.0,,,280.0,280.0,80.0,200,Pix,,,
425,Finalizado,30/05/2026 04:03:05,,,30/05/2026 04:03:04,2,"1g x Escova (380,00)
1g x Desodorante (380,00)",60.0,,,700.0,700.0,290.0,410,Pix,,,
424,Finalizado,30/05/2026 04:01:39,,,30/05/2026 04:01:38,1,"1g x Desodorante (380,00)",0.0,,,380.0,380.0,150.0,230,Dinheiro,,,
423,Finalizado,30/05/2026 01:08:03,,,30/05/2026 01:08:01,1,"1g x Desodorante (380,00)",0.0,,,380.0,380.0,150.0,230,Pix,,,
422,Finalizado,29/05/2026 23:00:10,,,29/05/2026 23:00:09,1,"1g x Desodorante (380,00)",0.0,,,380.0,380.0,150.0,230,Pix,,,
421,Finalizado,29/05/2026 22:21:29,,,29/05/2026 22:21:28,1.5,"0,5g x Escova (400,00)
1x Caneta 15cm (30,00)",0.0,,"10,00",240.0,240.0,84.4,145.6,Pix,,,
420,Finalizado,29/05/2026 19:52:09,,,29/05/2026 19:52:08,0.5,"0,5g x Escova (400,00)",0.0,,,200.0,200.0,70.0,130,Pix,,,
419,Finalizado,29/05/2026 19:51:36,,,29/05/2026 19:51:34,1,"1g x Desodorante (400,00)",0.0,,,400.0,400.0,150.0,250,Pix,,,
418,Finalizado,29/05/2026 19:20:57,,,29/05/2026 23:52:22,1.5,"1,5g x Desodorante (350,00)",25.0,,,500.0,500.0,225.0,275,"Pix, Fiado",,,
417,Finalizado,29/05/2026 18:52:23,,,29/05/2026 18:52:22,3,"3g x Escova (380,00)",40.0,,,1100.0,1100.0,420.0,680,Cartão de Crédito,,,
416,Finalizado,29/05/2026 16:00:34,,,29/05/2026 16:00:34,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
415,Finalizado,29/05/2026 15:35:54,,,29/05/2026 15:35:52,0.5,"0,5g x Desodorante (400,00)",0.0,,,200.0,200.0,75.0,125,Fiado,,,
414,Finalizado,29/05/2026 14:20:19,,,29/05/2026 14:20:17,1,"1g x Escova (380,00)",0.0,,,380.0,380.0,140.0,240,Pix,,,
413,Finalizado,29/05/2026 14:19:38,,,29/05/2026 14:19:37,0.5,"0,5g x Desodorante (400,00)",0.0,,,200.0,200.0,75.0,125,Pix,,,
412,Finalizado,29/05/2026 14:18:55,,,29/05/2026 14:18:54,1.5,"1g x Escova (340,00)
0,5g x Desodorante (320,00)",0.0,,,500.0,500.0,215.0,285,"Dinheiro, Pix, Fiado",,,
411,Finalizado,29/05/2026 02:53:08,,,29/05/2026 02:53:06,0.5,"0,35g x Escova (400,00)
0,15g x Brinquedo (400,00)",0.0,,,200.0,200.0,73.0,127,Pix,,,
410,Finalizado,29/05/2026 01:12:37,,,29/05/2026 01:12:36,2,"1g x Escova (380,00)
1x Hidratante 30ml (70,00)",0.0,,,450.0,450.0,150.0,300,Pix,,,
408,Finalizado,28/05/2026 23:38:46,,,28/05/2026 23:38:44,1.1,"1,1g x Desodorante (380,00)",8.0,,,410.00000000000006,410.0,165.0,245.00000000000006,Pix,,,
405,Finalizado,28/05/2026 23:15:23,,28/05/2026 00:00:00,28/05/2026 23:15:32,1.875,"0,88g x Escova (400,00)
1x Hidratante 30ml (80,00)",0.0,,,430.0,430.0,132.5,297.5,Pix,,,Reis
406,Finalizado,28/05/2026 22:49:32,,,28/05/2026 22:49:30,1,"1g x Desodorante (300,00)",0.0,,,300.0,300.0,150.0,150,Pix,,,
403,Finalizado,28/05/2026 22:42:42,,,28/05/2026 22:42:41,0.5,"0,5g x Desodorante (440,00)",0.0,,,220.0,220.0,75.0,145,Pix,,,
400,Finalizado,28/05/2026 21:49:07,27/05/2026 00:00:00,27/05/2026 00:00:00,28/05/2026 23:05:44,3,"2g x Escova (140,00)
1g x Desodorante (140,00)",0.0,,"10,00",430.0,430.0,430.0,-10,Pix,,,
